no_regis_produto, nome_equi, index_Recurso, categoria, Equi_obs, garantia
41, Ground Penetrating Radar GSSI SIR 3000, 74, Geofísica Aplicada,
42, Radar de solos, 75, Geofísica Aplicada,
43, Electromagnética frequênica muito baixa (VLF), 76, Geofísica Aplicada,
44, Resistivímetros, 77, Geofísica Aplicada,
45, Condutivímetro de solo, 78, Geofísica Aplicada,
46, Equipamento de diagrafias, 79, Geofísica Aplicada,
47, Sísmica de reflexão (72 canais), 80, Geofísica Aplicada,
48, Fonte sísmica de massa acelerada, 81, Geofísica Aplicada,
49, Geofones verticais, 4 Hz, 10 Hz, 40 Hz, 82, Geofísica Aplicada,

50, Analisar de partículas a laser, 83, Mecânica e Física das Rochas,
51, Estação fotogramétrica Leica LPS, 84, Mecânica e Física das Rochas,
52, Prensa de tração directa, 85, Mecânica e Física das Rochas,
53, Prensa uniaxial, 86, Mecânica e Física das Rochas,
54, Bomba de vácuo, 87, Mecânica e Física das Rochas,
55, Microscópio ótico, 88, Mecânica e Física das Rochas,
56, Célula triaxial Hoek, 89, Mecânica e Física das Rochas,
57, Unidade Coreflooding, 90, Mecânica e Física das Rochas,
58, Data-logger, 91, Mecânica e Física das Rochas,
59, Emissor-Receptor ultrasónico, 92, Mecânica e Física das Rochas,

60, Estação base magnética terrestre, 93, Geomagnetismo,
61, Magnetómetro escalar de campo total, 94, Geomagnetismo,
62, Magnetómetro Fluxo-DI, 95, Geomagnetismo,
63, Magnetómetro escalar (campo total F), 96, Geomagnetismo,
64, Magnetómetro fluxgate triaxial, 97, Geomagnetismo,
65, Magnetómetro Cesium G-858, 98, Geomagnetismo,
66, Magnetómetro fluxgate LEMI-018, 99, Geomagnetismo,
67, Magnetómetro de observações absolutas DI-flux (MinGeo), 100, Geomagnetismo,
68, Magnetómetro escalar de campo completo, 101, Geomagnetismo,
69, Magnetómetro escalar (campo total F), 102, Geomagnetismo,

70, Magnetómetro Spinner (JR-6), 103, Paleomagnetismo,
71, Magnetizador de pulso anisterético (AMU-1A), 104, Paleomagnetismo,
72, Desmagnetizador de campo magnético alternado (LDA-3A), 105, Paleomagnetismo,
73, Magnetizador de Impulso (IM-10-30), 106, Paleomagnetismo,
74, Desmagnetizador térmico (caseiro), 107, Paleomagnetismo,
75, Desmagnetizador AF – magnetizador ARM, 108, Paleomagnetismo,
76, Medidor de susceptibilidade magnética, 109, Paleomagnetismo,
77, Magnetizador, 110, Paleomagnetismo,

78, Estações de trabalho para processamento e interpretação de dados sísmicos, 111, Geologia Marinha, SeisLab
79, Radex Pro Seismic Processing software (Licenças), 112, Geologia Marinha, SeisLab
80, Landmark suite software, 113, Geologia Marinha, SeisLab
81, Propagação sísmica de reflexão de alta resolução: 1kJ pps, 24 canais 200 tips sparker, 114, Geologia Marinha,
82, Ecossounder multifeixe + SVP + sistema de posicionamento, 115, Geologia Marinha,
83, Sistema aquático STR SeaSpyder de telemetria, fotografia e vídeo, 116, Geologia Marinha,
84, Sensor de velocidade do som Valeport & Analisador, 117, Geologia Marinha,

85, Estações de trabalho, 118, Deteção Remota, GEOMODLAB
